source_path,production_or_staging_path,status,size_bytes,sha256,notes
Elementos visuales/Imagotipo/ImagotipoColor.png,public/brand/tob-imagotipo-color-horizontal.png,published,1496334,1b71a78f8c03189a8d12250d5b23bc52d3dac0b99a070da92db037cc5a249988,Logo horizontal a color de Technology on Business; usar en header y navegación.
Elementos visuales/Imagotipo/ImagotipoColor_Var1.png,public/brand/tob-imagotipo-color-vertical.png,published,2487313,01736ab07c786f259f9339253faa8770ea8e59974b1cdc01512a15af25a35877,Logo vertical a color de Technology on Business; usar en footer o piezas amplias.
Elementos visuales/Imagotipo/ImagotipoPositivo.png,public/brand/tob-imagotipo-blanco-horizontal.png,published,690007,7964bedbe5cb28a235438aa053a63692e94dbcf3ee9c4722f324e1cb70bc1c4f,Logo horizontal blanco de Technology on Business; usar sobre fondos oscuros.
Elementos visuales/Isotipo/IsotipoColor.png,public/brand/tob-isotipo-color.png,published,1761849,526c59814fc781b84bf025e8de41addd0aa3740a1e088cfe9c1285d381424832,Símbolo a color de Technology on Business.
Elementos visuales/Isotipo/IsotipoPositivo.png,public/brand/tob-isotipo-blanco.png,published,1173212,0cad43c8e29cbbd4466e23760ad8e994a16d5a797c4587a1f2277d4e05076c24,Símbolo blanco de Technology on Business.
Elementos visuales/Paleta_TOB.png,docs/brand/tob-paleta-oficial.png,reference,56997,37587584e8920c09f2138e41cf7e5b056842bad73e45b56c75b6cc26d57efb8f,"Paleta oficial de ToB: referencia de diseño, no asset decorativo."
Elementos visuales/Otros/GuíaColorIsotipo.png,docs/brand/tob-guia-color-isotipo.png,reference,520920,ee0e29b1557fa13d7089c587bcdec6ea8f5b02a569f8b0a65037feb581393531,Guía de aplicación cromática del isotipo ToB.
LogosAleados/logoOFICIAL.png,public/brand/hackatob-isotipo-oficial.png,published,437022,73e5548e7c7a1550a7b39611377406a322eff3610f2db71db094e3b2fbbbaa46,Isotipo oficial disponible de HackaToB; no contiene wordmark textual.
LogosAleados/hackatob-logoy texto.png,archive/duplicate-hackatob-isotipo.png,archived_duplicate,437022,73e5548e7c7a1550a7b39611377406a322eff3610f2db71db094e3b2fbbbaa46,Duplicado binario exacto de logoOFICIAL.png; no adjuntar ni publicar.
Tracks/spark-flotante.png,public/brand/spark-principal.png,published,986477,f1b2a785004596fef06e0c58dd0819cf43444185ed73829410dfafa49c4ac2a9,"Spark amarillo principal; Hero, Demo Day, confirmación y CTA final."
Tracks/spark-health.png,public/media/tracks/health/spark-health.png,published,297301,a784a987b667dfba58d7b186603f55162d6a372bdd8f94dc6437ac45e016913e,Spark azul de HealthTrack.
Tracks/spark-green.png,public/media/tracks/green/spark-green.png,published,284970,a1ca15b795ec2a4d3240fd4a1b44c799d7859507490441187582780500401b5c,Spark verde de GreenTrack.
Tracks/spark-fin.png,public/media/tracks/fin/spark-fin.png,published,295459,37515c56e10fd38c98593123300da7cfdad5e3525add2fe5fe5ed46710b0572b,Spark naranja de FinTrack.
Tracks/spark-next.png,public/media/tracks/next/spark-next.png,published,315530,15bf1102f3609bf58fbb71ac93e12309739491595a29ce72e8b5e7d35218b5c7,Spark morado de The Next Big Thing.
LogosAleados/LogoTEC.png,public/brand/tec-logo.png,published_institutional,10139,d3570f7d833e60c61b5605f45196ee5af3ab31d79171cf5ad7ddd21745346534,Logo institucional del TEC; no clasificar como partner comercial.
LogosAleados/dojologo.png,staging/partners/dojo-coding.png,pending_confirmation,107727,53be430c4cf1b0b5c01f1db3544d0b91f9bbf9ed00d7bd6254094f676e50b871,Logo de Dojo Coding; mover a public solo con confirmación y autorización.
LogosAleados/wwtLogo.png,staging/partners/wwt.png,pending_confirmation,2093579,288a4f433b6123e6901fd543c79d45826d75c4ae4962b93e8fc8fd3523483070,Logo de WWT; mover a public solo con confirmación y autorización.
LogosAleados/PGlogo.png,staging/partners/pg.png,pending_confirmation,155643,41ec250b71f0b2be0e92677474de4f845ff5bbcdd43ece3638ac4229a0b491f6,Logo de P&G; mover a public solo con confirmación y autorización.
Mentores-Jueces-EquipoTrabajo/mentor-Dennis-Rojas.png,staging/people/dennis-rojas/portrait.png,pending_role_confirmation,294643,02e48a1e449a4c4abf835d522b48539f31f1998171a18f9899034d6fb5d80474,"Retrato usable en tarjeta; confirmar si se publica como mentor, organización u otro rol."
